"region","year","min_percent_canopy_density","loss_ha","gain_ha"
"Cajamarca",2005,75,2203,429.333333333333
"Cajamarca",2006,10,2473,429.333333333333
"Cajamarca",2006,15,2461,429.333333333333
"Cajamarca",2006,20,2445,429.333333333333
"Cajamarca",2006,25,2436,429.333333333333
"Cajamarca",2006,30,2424,429.333333333333
"Cajamarca",2006,50,2243,429.333333333333
"Cajamarca",2006,75,1842,429.333333333333
"Cajamarca",2007,10,2010,429.333333333333
"Cajamarca",2007,15,2005,429.333333333333
"Cajamarca",2007,20,1997,429.333333333333
"Cajamarca",2007,25,1992,429.333333333333
"Cajamarca",2007,30,1984,429.333333333333
"Cajamarca",2007,50,1854,429.333333333333
"Cajamarca",2007,75,1587,429.333333333333
"Cajamarca",2008,10,2164,429.333333333333
"Cajamarca",2008,15,2158,429.333333333333
"Cajamarca",2008,20,2146,429.333333333333
"Cajamarca",2008,25,2140,429.333333333333
"Cajamarca",2008,30,2130,429.333333333333
"Cajamarca",2008,50,1989,429.333333333333
"Cajamarca",2008,75,1662,429.333333333333
"Cajamarca",2009,10,2193,429.333333333333
"Cajamarca",2009,15,2180,429.333333333333
"Cajamarca",2009,20,2169,429.333333333333
"Cajamarca",2009,25,2159,429.333333333333
"Cajamarca",2009,30,2146,429.333333333333
"Cajamarca",2009,50,1934,429.333333333333
"Cajamarca",2009,75,1560,429.333333333333
"Cajamarca",2010,10,2936,429.333333333333
"Cajamarca",2010,15,2924,429.333333333333
"Cajamarca",2010,20,2912,429.333333333333
"Cajamarca",2010,25,2903,429.333333333333
"Cajamarca",2010,30,2888,429.333333333333
"Cajamarca",2010,50,2667,429.333333333333
"Cajamarca",2010,75,2194,429.333333333333
"Cajamarca",2011,10,1660,429.333333333333
"Cajamarca",2011,15,1653,429.333333333333
"Cajamarca",2011,20,1645,429.333333333333
"Cajamarca",2011,25,1637,429.333333333333
"Cajamarca",2011,30,1628,429.333333333333
"Cajamarca",2011,50,1508,429.333333333333
"Cajamarca",2011,75,1274,429.333333333333
"Cajamarca",2012,10,3112,429.333333333333
"Cajamarca",2012,15,3100,429.333333333333
"Cajamarca",2012,20,3085,429.333333333333
"Cajamarca",2012,25,3077,429.333333333333
"Cajamarca",2012,30,3061,429.333333333333
"Cajamarca",2012,50,2864,429.333333333333
"Cajamarca",2012,75,2418,429.333333333333
"El Callao",2000,10,0,0
"El Callao",2000,15,0,0
"El Callao",2000,20,0,0
"El Callao",2000,25,0,0
"El Callao",2000,30,0,0
"El Callao",2000,50,0,0
"El Callao",2000,75,0,0
"El Callao",2001,10,1,4.75
"El Callao",2001,15,1,4.75
"El Callao",2001,20,1,4.75
"El Callao",2001,25,1,4.75
"El Callao",2001,30,1,4.75
"El Callao",2001,50,1,4.75
"El Callao",2001,75,1,4.75
"El Callao",2002,10,1,4.75
"El Callao",2002,15,1,4.75
"El Callao",2002,20,1,4.75
"El Callao",2002,25,1,4.75
"El Callao",2002,30,1,4.75
"El Callao",2002,50,0,4.75
"El Callao",2002,75,0,4.75
"El Callao",2003,10,0,4.75
"El Callao",2003,15,0,4.75
"El Callao",2003,20,0,4.75
"El Callao",2003,25,0,4.75
"El Callao",2003,30,0,4.75
"El Callao",2003,50,0,4.75
"El Callao",2003,75,0,4.75
"El Callao",2004,10,1,4.75
"El Callao",2004,15,1,4.75
"El Callao",2004,20,1,4.75
"El Callao",2004,25,1,4.75
"El Callao",2004,30,1,4.75
"El Callao",2004,50,1,4.75
"El Callao",2004,75,1,4.75
"El Callao",2005,10,3,4.75
"El Callao",2005,15,3,4.75
"El Callao",2005,20,2,4.75
"El Callao",2005,25,2,4.75
"El Callao",2005,30,2,4.75
"El Callao",2005,50,2,4.75
"El Callao",2005,75,1,4.75
"El Callao",2006,10,0,4.75
"El Callao",2006,15,0,4.75
"El Callao",2006,20,0,4.75
"El Callao",2006,25,0,4.75
"El Callao",2006,30,0,4.75
"El Callao",2006,50,0,4.75
"El Callao",2006,75,0,4.75
"El Callao",2007,10,4,4.75
"El Callao",2007,15,4,4.75
"El Callao",2007,20,3,4.75
"El Callao",2007,25,3,4.75
"El Callao",2007,30,3,4.75
"El Callao",2007,50,2,4.75
"El Callao",2007,75,2,4.75
"El Callao",2008,10,1,4.75
"El Callao",2008,15,1,4.75
"El Callao",2008,20,1,4.75
"El Callao",2008,25,1,4.75
"El Callao",2008,30,1,4.75
"El Callao",2008,50,1,4.75
"El Callao",2008,75,1,4.75
